clean_title,type.x,genres.x,average_rating,release_year.x,type.y,release_year.y,genres.y,weekly_hours_viewed
breaking bad,TV Show,"Crime, Drama, Thriller",9.5,2008,TV Show,2013,"Crime TV Shows, TV Dramas, TV Thrillers",NA
planet earth ii,TV Show,Documentary,9.5,2016,TV Show,2016,"British TV Shows, Docuseries, Science & Nature TV",NA
band of brothers,TV Show,"Action, Drama, History",9.4,2001,NA,NA,NA,NA
planet earth,TV Show,"Documentary, Family",9.4,2006,NA,NA,NA,NA
tree of life,TV Show,Drama,9.4,2014,NA,NA,NA,NA
the shawshank redemption,Movie,Drama,9.3,1994,NA,NA,NA,NA
chernobyl,TV Show,"Drama, History, Thriller",9.3,2019,NA,NA,NA,NA
the wire,TV Show,"Crime, Drama, Thriller",9.3,2002,NA,NA,NA,NA
avatar the last airbender,TV Show,"Action, Adventure, Animation",9.3,2005,TV Show,2007,"Classic & Cult TV, Kids' TV, TV Action & Adventure",NA
sapne vs everyone,TV Show,Drama,9.3,2023,NA,NA,NA,NA
blue planet ii,TV Show,Documentary,9.3,2017,TV Show,2017,"British TV Shows, Docuseries, Science & Nature TV",NA
cosmos,TV Show,Documentary,9.3,1980,NA,NA,NA,NA
bluey,TV Show,"Animation, Family",9.3,2018,NA,NA,NA,NA
bb ki vines,TV Show,Comedy,9.3,2015,NA,NA,NA,NA
game of thrones,TV Show,"Action, Adventure, Drama",9.2,2011,NA,NA,NA,NA
the godfather,Movie,"Crime, Drama",9.2,1972,NA,NA,NA,NA
the sopranos,TV Show,"Crime, Drama",9.2,1999,NA,NA,NA,NA
aspirants,TV Show,Drama,9.2,2021,NA,NA,NA,NA
scam 1992 the harshad mehta story,TV Show,"Biography, Crime, Drama",9.2,2020,NA,NA,NA,NA
cosmos a spacetime odyssey,TV Show,Documentary,9.2,2014,NA,NA,NA,NA
our planet,TV Show,Documentary,9.2,2019,TV Show,2019,"Docuseries, Science & Nature TV",9900000
our planet,TV Show,Documentary,9.2,2019,TV Show,2019,"Docuseries, Science & Nature TV",13600000
our planet,TV Show,Documentary,9.2,2019,TV Show,2019,"Docuseries, Science & Nature TV",11900000
the chosen,TV Show,"Drama, History",9.2,2017,Movie,2016,"Dramas, International Movies, Thrillers",NA
the chosen,TV Show,"Drama, History",9.2,2017,Movie,2016,"Dramas, International Movies, Thrillers",NA
the chaos class,Movie,Comedy,9.2,1975,NA,NA,NA,NA
the filthy frank show,TV Show,"Comedy, Short",9.2,2011,NA,NA,NA,NA
the world at war,TV Show,"Documentary, History, War",9.2,1973,NA,NA,NA,NA
ramayana the legend of prince rama,Movie,"Action, Adventure, Animation",9.2,1993,NA,NA,NA,NA
çilgin dersane at the university,TV Show,Comedy,9.2,2014,NA,NA,NA,NA
sherlock,TV Show,"Crime, Drama, Mystery",9.1,2010,TV Show,2017,"British TV Shows, Crime TV Shows, International TV Shows",NA
rick and morty,TV Show,"Adventure, Animation, Comedy",9.1,2013,NA,NA,NA,NA
attack on titan,TV Show,"Action, Adventure, Animation",9.1,2013,TV Show,2013,"Anime Series, International TV Shows",4700000
arcane,TV Show,"Action, Adventure, Animation",9.1,2021,NA,NA,NA,10010000
arcane,TV Show,"Action, Adventure, Animation",9.1,2021,NA,NA,NA,13470000
arcane,TV Show,"Action, Adventure, Animation",9.1,2021,NA,NA,NA,18180000
arcane,TV Show,"Action, Adventure, Animation",9.1,2021,NA,NA,NA,29660000
arcane,TV Show,"Action, Adventure, Animation",9.1,2021,NA,NA,NA,38420000
arcane,TV Show,"Action, Adventure, Animation",9.1,2021,NA,NA,NA,34170000
fullmetal alchemist brotherhood,TV Show,"Action, Adventure, Animation",9.1,2009,TV Show,2010,"Anime Series, International TV Shows",NA
leyla and mecnun,TV Show,"Adventure, Comedy, Drama",9.1,2011,TV Show,2014,"International TV Shows, Romantic TV Shows, TV Comedies",NA
sandeep bhaiya,TV Show,Drama,9.1,2023,NA,NA,NA,NA
tvf pitchers,TV Show,"Comedy, Drama",9.1,2015,NA,NA,NA,NA
life,TV Show,Documentary,9.1,2009,TV Show,2018,"International TV Shows, Korean TV Shows, TV Dramas",NA
the vietnam war,TV Show,"Documentary, History, War",9.1,2017,NA,NA,NA,NA
gullak,TV Show,"Comedy, Drama, Family",9.1,2019,NA,NA,NA,NA
halka,TV Show,"Action, Crime, Drama",9.1,2019,NA,NA,NA,NA
koombiyo,TV Show,"Crime, Drama, Thriller",9.1,2017,NA,NA,NA,NA
critical role,TV Show,"Adventure, Fantasy",9.1,2015,NA,NA,NA,NA
the legend of hanuman,TV Show,"Action, Adventure, Animation",9.1,2021,NA,NA,NA,NA
the silence of swastika,Movie,"Documentary, History",9.1,2021,NA,NA,NA,NA
the dark knight,Movie,"Action, Crime, Drama",9,2008,NA,NA,NA,NA
the lord of the rings the return of the king,Movie,"Adventure, Drama, Fantasy",9,2003,Movie,2003,"Action & Adventure, Sci-Fi & Fantasy",NA
schindlers list,Movie,"Biography, Drama, History",9,1993,Movie,1993,"Classic Movies, Dramas",NA
the godfather part ii,Movie,"Crime, Drama",9,1974,NA,NA,NA,NA
12 angry men,Movie,"Crime, Drama",9,1957,NA,NA,NA,NA
the office,TV Show,Comedy,9,2005,NA,NA,NA,NA
better call saul,TV Show,"Crime, Drama",9,2015,TV Show,2018,"Crime TV Shows, TV Comedies, TV Dramas",13960000
better call saul,TV Show,"Crime, Drama",9,2015,TV Show,2018,"Crime TV Shows, TV Comedies, TV Dramas",14790000
better call saul,TV Show,"Crime, Drama",9,2015,TV Show,2018,"Crime TV Shows, TV Comedies, TV Dramas",12430000
better call saul,TV Show,"Crime, Drama",9,2015,TV Show,2018,"Crime TV Shows, TV Comedies, TV Dramas",15170000
one piece,TV Show,"Action, Adventure, Animation",9,1999,TV Show,2002,Anime Series,10900000
one piece,TV Show,"Action, Adventure, Animation",9,1999,TV Show,2002,Anime Series,14300000
one piece,TV Show,"Action, Adventure, Animation",9,1999,TV Show,2002,Anime Series,18800000
one piece,TV Show,"Action, Adventure, Animation",9,1999,TV Show,2002,Anime Series,28400000
one piece,TV Show,"Action, Adventure, Animation",9,1999,TV Show,2002,Anime Series,46600000
one piece,TV Show,"Action, Adventure, Animation",9,1999,TV Show,2002,Anime Series,75500000
one piece,TV Show,"Action, Adventure, Animation",9,1999,TV Show,2002,Anime Series,145700000
one piece,TV Show,"Action, Adventure, Animation",9,1999,TV Show,2002,Anime Series,140100000
the last dance,TV Show,"Biography, Documentary, History",9,2020,TV Show,2020,Docuseries,NA
hunter x hunter,TV Show,"Action, Adventure, Animation",9,2011,NA,NA,NA,NA
batman the animated series,TV Show,"Action, Adventure, Animation",9,1992,NA,NA,NA,NA
panchayat,TV Show,"Comedy, Drama",9,2020,NA,NA,NA,NA
the twilight zone,TV Show,"Drama, Fantasy, Horror",9,1959,NA,NA,NA,NA
kota factory,TV Show,"Comedy, Drama",9,2019,TV Show,2021,"International TV Shows, Romantic TV Shows, TV Comedies",NA
clarksons farm,TV Show,"Comedy, Documentary, Reality-TV",9,2021,NA,NA,NA,NA
only fools and horses,TV Show,Comedy,9,1981,NA,NA,NA,NA
bleach thousand-year blood war,TV Show,"Action, Adventure, Animation",9,2022,NA,NA,NA,NA
persona,TV Show,"Crime, Drama, Mystery",9,2018,TV Show,2019,"International TV Shows, Korean TV Shows, TV Dramas",NA
the blue planet,TV Show,Documentary,9,2001,NA,NA,NA,NA
ncr days,TV Show,Drama,9,2022,NA,NA,NA,NA
frozen planet,TV Show,Documentary,9,2011,TV Show,2011,"British TV Shows, Docuseries, International TV Shows",NA
human planet,TV Show,Documentary,9,2011,NA,NA,NA,NA
as if,TV Show,Comedy,9,2021,NA,NA,NA,NA
ramayan,TV Show,"Adventure, Drama, Family",9,1987,TV Show,2012,"International TV Shows, TV Dramas",NA
taskmaster,TV Show,"Comedy, Game-Show",9,2015,NA,NA,NA,NA
the civil war,TV Show,"Documentary, History, War",9,1990,NA,NA,NA,NA
apocalypse the second world war,TV Show,"Documentary, History, War",9,2009,NA,NA,NA,NA
reply 1988,TV Show,"Comedy, Drama, Family",9,2015,TV Show,2015,"International TV Shows, Korean TV Shows, Romantic TV Shows",NA
mahabharat,TV Show,"Drama, History, War",9,2013,Movie,2013,"Action & Adventure, Dramas, International Movies",NA
my mister,TV Show,"Drama, Family",9,2018,TV Show,2018,"Crime TV Shows, International TV Shows, Korean TV Shows",NA
pulp fiction,Movie,"Crime, Drama",8.9,1994,Movie,1994,"Classic Movies, Cult Movies, Dramas",NA
the lord of the rings the fellowship of the ring,Movie,"Adventure, Drama, Fantasy",8.9,2001,NA,NA,NA,NA
friends,TV Show,"Comedy, Romance",8.9,1994,TV Show,2003,"Classic & Cult TV, TV Comedies",NA
true detective,TV Show,"Crime, Drama, Mystery",8.9,2014,NA,NA,NA,NA
fargo,TV Show,"Crime, Drama, Thriller",8.9,2014,NA,NA,NA,NA
death note,TV Show,"Animation, Crime, Drama",8.9,2006,Movie,2017,"Horror Movies, Thrillers",NA
death note,TV Show,"Animation, Crime, Drama",8.9,2006,TV Show,2006,"Anime Series, Crime TV Shows, International TV Shows",NA
seinfeld,TV Show,Comedy,8.9,1989,NA,NA,NA,NA
firefly,TV Show,"Adventure, Drama, Sci-Fi",8.9,2002,NA,NA,NA,NA
gravity falls,TV Show,"Adventure, Animation, Comedy",8.9,2012,NA,NA,NA,NA
cowboy bebop,TV Show,"Action, Adventure, Animation",8.9,1998,NA,NA,NA,15260000
cowboy bebop,TV Show,"Action, Adventure, Animation",8.9,1998,NA,NA,NA,36950000
cowboy bebop,TV Show,"Action, Adventure, Animation",8.9,1998,NA,NA,NA,21630000
the west wing,TV Show,Drama,8.9,1999,TV Show,2005,TV Dramas,NA
nathan for you,TV Show,"Comedy, Documentary",8.9,2013,NA,NA,NA,NA
the beatles get back,TV Show,"Biography, Documentary, Music",8.9,2021,NA,NA,NA,NA
mirror game,Movie,"Crime, Mystery, Thriller",8.9,2016,NA,NA,NA,NA
dekalog,TV Show,Drama,8.9,1989,NA,NA,NA,NA
frieren beyond journeys end,TV Show,"Adventure, Animation, Comedy",8.9,2023,NA,NA,NA,NA
undercover,TV Show,"Action, Crime, Drama",8.9,2011,TV Show,2020,"Crime TV Shows, International TV Shows, TV Action & Adventure",16830000
undercover,TV Show,"Action, Crime, Drama",8.9,2011,TV Show,2020,"Crime TV Shows, International TV Shows, TV Action & Adventure",12070000
yeh meri family,TV Show,"Comedy, Drama, Family",8.9,2018,TV Show,2018,"International TV Shows, TV Comedies",NA
tosun pasha,Movie,"Comedy, History",8.9,1976,NA,NA,NA,NA
mahabharat,TV Show,"Action, Adventure, Drama",8.9,1988,Movie,2013,"Action & Adventure, Dramas, International Movies",NA
o.j. made in america,Movie,"Biography, Crime, Documentary",8.9,2016,NA,NA,NA,NA
sarabhai v/s sarabhai,TV Show,Comedy,8.9,2004,NA,NA,NA,NA
rocket boys,TV Show,"Drama, History",8.9,2022,NA,NA,NA,NA
africa,TV Show,Documentary,8.9,2013,TV Show,2013,"British TV Shows, Docuseries, International TV Shows",NA
the message,Movie,"Action, Adventure, Biography",8.9,1976,NA,NA,NA,NA
tash ma tash,TV Show,"Comedy, Drama",8.9,1992,NA,NA,NA,NA
harga,TV Show,Drama,8.9,2021,NA,NA,NA,NA
inception,Movie,"Action, Adventure, Sci-Fi",8.8,2010,Movie,2010,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",NA
fight club,Movie,Drama,8.8,1999,NA,NA,NA,NA
forrest gump,Movie,"Drama, Romance",8.8,1994,NA,NA,NA,NA
the lord of the rings the two towers,Movie,"Adventure, Drama, Fantasy",8.8,2002,Movie,2002,"Action & Adventure, Sci-Fi & Fantasy",NA
"the good, the bad and the ugly",Movie,"Adventure, Drama, Western",8.8,1966,NA,NA,NA,NA
ted lasso,TV Show,"Comedy, Drama, Sport",8.8,2020,NA,NA,NA,NA
succession,TV Show,"Comedy, Drama",8.8,2018,NA,NA,NA,NA
its always sunny in philadelphia,TV Show,Comedy,8.8,2005,NA,NA,NA,NA
bojack horseman,TV Show,"Animation, Comedy, Drama",8.8,2014,TV Show,2020,TV Comedies,NA
freaks and geeks,TV Show,"Comedy, Drama",8.8,1999,NA,NA,NA,NA
dragon ball z,TV Show,"Action, Adventure, Animation",8.8,1996,NA,NA,NA,NA
curb your enthusiasm,TV Show,Comedy,8.8,2000,NA,NA,NA,NA
when they see us,TV Show,"Biography, Crime, Drama",8.8,2019,TV Show,2019,"Crime TV Shows, TV Dramas",NA
12th fail,Movie,"Biography, Drama",8.8,2023,NA,NA,NA,NA
dhindora,TV Show,"Comedy, Drama",8.8,2021,NA,NA,NA,NA
fawlty towers,TV Show,Comedy,8.8,1975,NA,NA,NA,NA
last week tonight with john oliver,TV Show,"Comedy, News, Talk-Show",8.8,2014,NA,NA,NA,NA
pride and prejudice,TV Show,"Drama, Romance",8.8,1995,NA,NA,NA,NA
dragon ball z,TV Show,"Action, Adventure, Animation",8.8,1989,NA,NA,NA,NA
vinland saga,TV Show,"Action, Adventure, Animation",8.8,2019,NA,NA,NA,NA
monty pythons flying circus,TV Show,Comedy,8.8,1969,TV Show,1974,"British TV Shows, Classic & Cult TV, International TV Shows",NA
steins;gate,TV Show,"Animation, Comedy, Drama",8.8,2011,NA,NA,NA,NA
chappelles show,TV Show,"Comedy, Music",8.8,2003,TV Show,2005,TV Comedies,NA
blackadder goes forth,TV Show,"Comedy, War",8.8,1989,NA,NA,NA,NA
x-men 97,TV Show,"Action, Adventure, Animation",8.8,2024,NA,NA,NA,NA
das boot,TV Show,"Drama, War",8.8,1985,NA,NA,NA,NA
behzat ç an ankara detective story,TV Show,"Crime, Drama, Mystery",8.8,2010,NA,NA,NA,NA
flames,TV Show,"Comedy, Drama, Romance",8.8,2018,NA,NA,NA,NA
the chaos class failed the class,Movie,Comedy,8.8,1975,NA,NA,NA,NA
the foster brothers,Movie,"Comedy, History",8.8,1976,NA,NA,NA,NA
"i, claudius",TV Show,"Biography, Drama, History",8.8,1976,NA,NA,NA,NA
another love,TV Show,"Crime, Drama, Romance",8.8,2023,NA,NA,NA,NA
campus diaries,TV Show,"Comedy, Drama, Romance",8.8,2022,NA,NA,NA,NA
the marathon family,Movie,"Comedy, Drama",8.8,1982,NA,NA,NA,NA
#home,Movie,"Drama, Family",8.8,2021,NA,NA,NA,NA
azize,TV Show,Drama,8.8,2019,NA,NA,NA,NA
black pearl,TV Show,Drama,8.8,2017,NA,NA,NA,NA
pew news,TV Show,"Comedy, News",8.8,2018,NA,NA,NA,NA
black sun,TV Show,"Crime, Drama, Thriller",8.8,2017,NA,NA,NA,NA
balkan spy,Movie,"Comedy, Drama",8.8,1984,NA,NA,NA,NA
fighting spirit,TV Show,"Action, Animation, Comedy",8.8,2000,NA,NA,NA,NA
not me,TV Show,"Action, Crime, Romance",8.8,2021,NA,NA,NA,NA
the phantom of the opera at the royal albert hall,Movie,"Drama, Musical, Romance",8.8,2011,NA,NA,NA,NA
interstellar,Movie,"Adventure, Drama, Sci-Fi",8.7,2014,NA,NA,NA,NA
the matrix,Movie,"Action, Sci-Fi",8.7,1999,Movie,1999,"Action & Adventure, Sci-Fi & Fantasy",NA
star wars episode v - the empire strikes back,Movie,"Action, Adventure, Fantasy",8.7,1980,NA,NA,NA,NA
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",9420000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",10340000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",13480000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",16560000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",20280000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",23640000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",28800000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",35310000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",44760000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",17040000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",57720000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",21440000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",20170000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",74990000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",26680000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",25620000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",23220000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",102330000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",33790000
