titles,type,genres,average_rating,release_year,weekly_hours_viewed
all quiet on the western front,Movie,"Drama, War",8.1,1930,1280000
the invisible man,Movie,"Horror, Sci-Fi",7.6,1933,6530000
the stranger,Movie,"Crime, Drama, Film-Noir",7.3,1946,9170000
"watch out, were mad",Movie,"Action, Comedy",7.3,1974,2580000
the longest yard,Movie,"Comedy, Crime, Drama",7.1,1974,9960000
don,Movie,"Action, Crime, Thriller",7.7,1978,2740000
the smurfs,TV Show,"Adventure, Animation, Comedy",7.2,1981,9220000
missing,Movie,"Biography, Drama, History",7.7,1982,8080000
dangerous liaisons,Movie,"Drama, Romance",7.5,1988,2150000
the vanishing,Movie,"Mystery, Thriller",7.7,1988,7030000
the killer,Movie,"Action, Crime, Drama",7.7,1989,7100000
beauty and the beast,Movie,"Animation, Family, Fantasy",8,1991,1150000
heat,Movie,"Action, Crime, Drama",8.3,1995,4520000
open your eyes,Movie,"Drama, Mystery, Sci-Fi",7.7,1997,8220000
cowboy bebop,TV Show,"Action, Adventure, Animation",8.9,1998,15260000
one piece,TV Show,"Action, Adventure, Animation",9.0,1999,10900000
the mummy,Movie,"Action, Adventure, Fantasy",7.1,1999,11540000
amores perros,Movie,"Drama, Thriller",8,2000,1450000
shrek,Movie,"Adventure, Animation, Comedy",7.9,2001,4540000
harry potter and the sorcerers stone,Movie,"Adventure, Family, Fantasy",7.7,2001,4790000
city of god,Movie,"Crime, Drama",8.6,2002,3050000
spider-man,Movie,"Action, Adventure, Sci-Fi",7.4,2002,5430000
the son,Movie,"Drama, Mystery",7.5,2002,7940000
carandiru,Movie,"Crime, Drama",7.6,2003,1760000
kung fu hustle,Movie,"Action, Comedy, Fantasy",7.7,2004,1800000
collateral,Movie,"Action, Crime, Drama",7.5,2004,6100000
mean girls,Movie,Comedy,7.1,2004,6300000
hustle,TV Show,"Crime, Drama, Mystery",8.2,2004,6450000
shrek 2,Movie,"Adventure, Animation, Comedy",7.4,2004,6750000
man on fire,Movie,"Crime, Drama, Thriller",7.7,2004,9400000
invasion,TV Show,"Drama, Horror, Mystery",7.5,2005,2990000
coach carter,Movie,"Biography, Drama, Sport",7.3,2005,5450000
memoirs of a geisha,Movie,"Drama, Romance",7.3,2005,10200000
greys anatomy,TV Show,"Drama, Romance",7.6,2005,15990000
perfume the story of a murderer,Movie,"Crime, Drama, Fantasy",7.5,2006,4450000
inside man,Movie,"Crime, Drama, Mystery",7.6,2006,24970000
elite squad,Movie,"Action, Crime, Drama",8,2007,2360000
the mist,Movie,"Horror, Sci-Fi, Thriller",7.1,2007,6230000
hunger,Movie,"Biography, Crime, Drama",7.5,2008,2620000
sanctuary,TV Show,"Action, Drama, Fantasy",7.3,2008,11250000
sin nombre,Movie,"Adventure, Crime, Drama",7.5,2009,1830000
home,Movie,"Documentary, Family",8.5,2009,8070000
the blind side,Movie,"Biography, Drama, Sport",7.6,2009,8710000
the great british baking show,TV Show,"Game-Show, Reality-TV",8.6,2010,4300000
despicable me,Movie,"Adventure, Animation, Comedy",7.6,2010,5590000
the pacific,TV Show,"Action, Adventure, Drama",8.3,2010,15300000
the walking dead,TV Show,"Drama, Horror, Thriller",8.1,2010,15940000
inside job,Movie,"Crime, Documentary",8.2,2010,21240000
mission impossible - ghost protocol,Movie,"Action, Adventure, Thriller",7.4,2011,6550000
black mirror,TV Show,"Crime, Drama, Mystery",8.7,2011,16700000
undercover,TV Show,"Action, Crime, Drama",8.9,2011,16830000
top boy,TV Show,"Crime, Drama, Thriller",8.4,2011,18600000
suits,TV Show,"Comedy, Drama",8.4,2011,20300000
line of duty,TV Show,"Crime, Drama, Mystery",8.7,2012,4140000
pitch perfect,Movie,"Comedy, Music, Romance",7.1,2012,4580000
the hunger games,Movie,"Action, Adventure, Sci-Fi",7.2,2012,4900000
the dark knight rises,Movie,"Action, Drama, Thriller",8.4,2012,7750000
jojos bizarre adventure,TV Show,"Action, Adventure, Animation",8.5,2012,8770000
flight,Movie,"Drama, Thriller",7.3,2012,10710000
21 jump street,Movie,"Action, Comedy, Crime",7.2,2012,11690000
attack on titan,TV Show,"Action, Adventure, Animation",9.1,2013,4700000
the hunger games catching fire,Movie,"Action, Adventure, Sci-Fi",7.5,2013,5010000
prisoners,Movie,"Crime, Drama, Mystery",8.2,2013,5100000
the croods,Movie,"Adventure, Animation, Comedy",7.1,2013,5200000
despicable me 2,Movie,"Adventure, Animation, Comedy",7.3,2013,5500000
lone survivor,Movie,"Action, Biography, Drama",7.5,2013,5500000
queen,Movie,"Adventure, Comedy, Drama",8.1,2013,7400000
the wolf of wall street,Movie,"Biography, Comedy, Crime",8.2,2013,9700000
peaky blinders,TV Show,"Crime, Drama",8.7,2013,13060000
the blacklist,TV Show,"Crime, Drama, Mystery",7.9,2013,17260000
a hard day,Movie,"Action, Crime, Thriller",7.2,2014,1260000
kingdom,TV Show,"Drama, Sport",8.5,2014,3300000
the raid 2,Movie,"Action, Crime, Thriller",7.9,2014,3840000
st. vincent,Movie,"Comedy, Drama",7.2,2014,7640000
the 100,TV Show,"Action, Drama, Sci-Fi",7.5,2014,12990000
the seven deadly sins,TV Show,"Action, Adventure, Animation",7.7,2014,13420000
glitch,TV Show,"Drama, Horror, Sci-Fi",7.2,2015,7440000
the age of adaline,Movie,"Drama, Fantasy, Romance",7.2,2015,9340000
ballers,TV Show,"Comedy, Drama, Sport",7.8,2015,10500000
grace and frankie,TV Show,Comedy,8.2,2015,12260000
the last kingdom,TV Show,"Action, Drama, History",8.5,2015,12970000
better call saul,TV Show,"Crime, Drama",9.0,2015,13960000
fauda,TV Show,"Action, Drama, Thriller",8.3,2015,19210000
shooter,TV Show,"Action, Drama",7.5,2016,4700000
kung fu panda 3,Movie,"Action, Adventure, Animation",7.1,2016,5750000
sing,Movie,"Animation, Comedy, Family",7.1,2016,6500000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,9420000
